legacy_url,legacy_id,tip,yeni_url,eylem,not
/en-unlu-mimari-yapilar-guggenheim-muzesi.html?amp=1,6907,post-amp,/en-unlu-mimari-yapilar-guggenheim-muzesi.html,redirect,"AMP kanonik biçim (rel=amphtml ile ilan ediliyor); yeni sistemde AMP yok, kanonik sayfaya 301"
/en-unlu-mimari-yapilar-guggenheim-muzesi.html/amp,6907,post-amp,/en-unlu-mimari-yapilar-guggenheim-muzesi.html,redirect,"AMP yol biçimi; kaynakta ?amp=1'e yönleniyor; yeni sistemde AMP yok, kanonik sayfaya 301"
/yeni-youtube-kanali-acarken-2-onemli-konu.html,6902,post,/yeni-youtube-kanali-acarken-2-onemli-konu.html,keep,kategori=218; tarih=2024-11-20
/yeni-youtube-kanali-acarken-2-onemli-konu.html?amp=1,6902,post-amp,/yeni-youtube-kanali-acarken-2-onemli-konu.html,redirect,"AMP kanonik biçim (rel=amphtml ile ilan ediliyor); yeni sistemde AMP yok, kanonik sayfaya 301"
/yeni-youtube-kanali-acarken-2-onemli-konu.html/amp,6902,post-amp,/yeni-youtube-kanali-acarken-2-onemli-konu.html,redirect,"AMP yol biçimi; kaynakta ?amp=1'e yönleniyor; yeni sistemde AMP yok, kanonik sayfaya 301"
/mimarlarin-en-fazla-sordugu-sorular.html,6897,post,/mimarlarin-en-fazla-sordugu-sorular.html,keep,"kategori=1173,538; tarih=2024-11-19"
/mimarlarin-en-fazla-sordugu-sorular.html?amp=1,6897,post-amp,/mimarlarin-en-fazla-sordugu-sorular.html,redirect,"AMP kanonik biçim (rel=amphtml ile ilan ediliyor); yeni sistemde AMP yok, kanonik sayfaya 301"
/mimarlarin-en-fazla-sordugu-sorular.html/amp,6897,post-amp,/mimarlarin-en-fazla-sordugu-sorular.html,redirect,"AMP yol biçimi; kaynakta ?amp=1'e yönleniyor; yeni sistemde AMP yok, kanonik sayfaya 301"
/3dsmax-vray-gercekci-gece-renderi-alma.html,6894,post,/3dsmax-vray-gercekci-gece-renderi-alma.html,keep,"kategori=1169,1170; tarih=2024-11-14"
/3dsmax-vray-gercekci-gece-renderi-alma.html?amp=1,6894,post-amp,/3dsmax-vray-gercekci-gece-renderi-alma.html,redirect,"AMP kanonik biçim (rel=amphtml ile ilan ediliyor); yeni sistemde AMP yok, kanonik sayfaya 301"
/3dsmax-vray-gercekci-gece-renderi-alma.html/amp,6894,post-amp,/3dsmax-vray-gercekci-gece-renderi-alma.html,redirect,"AMP yol biçimi; kaynakta ?amp=1'e yönleniyor; yeni sistemde AMP yok, kanonik sayfaya 301"
/3dsmax-vray-gercekci-metal-malzeme-olusturma.html,6890,post,/3dsmax-vray-gercekci-metal-malzeme-olusturma.html,keep,"kategori=1169,1170; tarih=2024-11-14"
/3dsmax-vray-gercekci-metal-malzeme-olusturma.html?amp=1,6890,post-amp,/3dsmax-vray-gercekci-metal-malzeme-olusturma.html,redirect,"AMP kanonik biçim (rel=amphtml ile ilan ediliyor); yeni sistemde AMP yok, kanonik sayfaya 301"
/3dsmax-vray-gercekci-metal-malzeme-olusturma.html/amp,6890,post-amp,/3dsmax-vray-gercekci-metal-malzeme-olusturma.html,redirect,"AMP yol biçimi; kaynakta ?amp=1'e yönleniyor; yeni sistemde AMP yok, kanonik sayfaya 301"
/yapay-zeka-sketchup-eklentisi-ile-kaliteli-render.html,6887,post,/yapay-zeka-sketchup-eklentisi-ile-kaliteli-render.html,keep,kategori=1258; tarih=2024-11-14
/yapay-zeka-sketchup-eklentisi-ile-kaliteli-render.html?amp=1,6887,post-amp,/yapay-zeka-sketchup-eklentisi-ile-kaliteli-render.html,redirect,"AMP kanonik biçim (rel=amphtml ile ilan ediliyor); yeni sistemde AMP yok, kanonik sayfaya 301"
/yapay-zeka-sketchup-eklentisi-ile-kaliteli-render.html/amp,6887,post-amp,/yapay-zeka-sketchup-eklentisi-ile-kaliteli-render.html,redirect,"AMP yol biçimi; kaynakta ?amp=1'e yönleniyor; yeni sistemde AMP yok, kanonik sayfaya 301"
/chaos-vray-vantage-2-turkce-inceleme.html,6882,post,/chaos-vray-vantage-2-turkce-inceleme.html,keep,"kategori=538,541; tarih=2024-11-10"
/chaos-vray-vantage-2-turkce-inceleme.html?amp=1,6882,post-amp,/chaos-vray-vantage-2-turkce-inceleme.html,redirect,"AMP kanonik biçim (rel=amphtml ile ilan ediliyor); yeni sistemde AMP yok, kanonik sayfaya 301"
/chaos-vray-vantage-2-turkce-inceleme.html/amp,6882,post-amp,/chaos-vray-vantage-2-turkce-inceleme.html,redirect,"AMP yol biçimi; kaynakta ?amp=1'e yönleniyor; yeni sistemde AMP yok, kanonik sayfaya 301"
/d5-render-2-9-muhtesem-ozellikleri.html,6878,post,/d5-render-2-9-muhtesem-ozellikleri.html,keep,"kategori=1168,538; tarih=2024-11-10"
/d5-render-2-9-muhtesem-ozellikleri.html?amp=1,6878,post-amp,/d5-render-2-9-muhtesem-ozellikleri.html,redirect,"AMP kanonik biçim (rel=amphtml ile ilan ediliyor); yeni sistemde AMP yok, kanonik sayfaya 301"
/d5-render-2-9-muhtesem-ozellikleri.html/amp,6878,post-amp,/d5-render-2-9-muhtesem-ozellikleri.html,redirect,"AMP yol biçimi; kaynakta ?amp=1'e yönleniyor; yeni sistemde AMP yok, kanonik sayfaya 301"
/render-bilgisayari-2024.html,6873,post,/render-bilgisayari-2024.html,keep,"kategori=515,516; tarih=2024-10-30"
/render-bilgisayari-2024.html?amp=1,6873,post-amp,/render-bilgisayari-2024.html,redirect,"AMP kanonik biçim (rel=amphtml ile ilan ediliyor); yeni sistemde AMP yok, kanonik sayfaya 301"
/render-bilgisayari-2024.html/amp,6873,post-amp,/render-bilgisayari-2024.html,redirect,"AMP yol biçimi; kaynakta ?amp=1'e yönleniyor; yeni sistemde AMP yok, kanonik sayfaya 301"
